LA,ESTAB,URN,PERCTOT,PPERSABS10
211,2631,100927,3.5,6
211,2658,100928,4.4,10.9
211,2828,100930,4,10.1
211,2857,100931,4.1,11.1
211,2893,100932,4.7,9.7
211,2908,100934,4,6.8
211,2909,100935,4.3,12.2
211,2910,100936,3.9,7.9
211,2912,100937,3.8,7.3
211,2916,100938,3.2,5.7
211,2917,100939,3.1,5.5
211,2918,100940,3.4,4.7
211,2919,100941,4.1,9.5
211,2920,144236,3.4,4.4
211,2921,100943,3.9,9.2
211,2922,130352,4.1,9.1
211,2999,131737,3.6,6.6
211,3332,100944,3.8,8.5
211,3346,100945,4.4,12
211,3350,100946,4,9.9
211,3397,100949,4,5.3
211,3411,100950,5.2,15.5
211,3431,100951,4.9,13.8
211,3462,100953,6,19.5
211,3497,100954,5.1,12
211,3540,100956,4.5,10.2
211,3563,100958,4.1,10.2
211,3574,100959,4.8,11.9
211,3581,100960,3.5,5.9
211,3592,100961,4.3,8.4
211,3619,100962,4.1,5.4
211,4000,138202,6,15.6
211,4001,141133,5.5,14.6
211,4003,142879,4,9.9
211,4005,144756,7.6,31.3
211,4024,100965,4.9,10
211,4105,100966,4.6,12.3
211,4150,100967,4.8,9.7
211,4242,143629,4.3,8.5
211,4276,144700,3.8,6.3
211,4277,143379,4.5,10
211,4284,137789,3.6,6
211,4296,100972,4.7,8
211,4297,100973,3.3,4
211,4298,133289,4.8,12.2
211,4505,100974,5.5,16
211,4507,100975,4,7.7
211,4722,100977,4.8,10
211,4726,100978,4.1,9.7
211,5400,100979,7.8,24.5
211,7095,100987,7.6,21.5
211,7168,100989,17.7,52.5
211,7169,131023,15,54.8
211,7170,131608,13.2,54.5
211,7171,143630,20.7,67.3
212,2000,139592,4.3,10.3
212,2001,139687,5.3,17.4
212,2002,139775,2.5,4.2
212,2003,140222,3.3,4.9
212,2004,100995,4.2,11.8
212,2005,134041,3.7,6.9
212,2006,140423,3.1,4.4
212,2007,140682,5.2,18.1
212,2009,144621,4.9,14.3
212,2010,100996,4.1,8.7
212,2011,145060,4.6,9.6
212,2012,146549,4.7,11.2
212,2034,100997,3.7,7
212,2040,137563,3.2,3.1
212,2064,101001,2.8,4.6
212,2067,101002,4,9.3
212,2107,145280,4,8.1
212,2180,101005,3.3,5.6
212,2211,101006,4.9,12.1
212,2217,101007,3.8,8.6
212,2231,146191,4.7,12.5
212,2237,101009,3.6,6.3
212,2301,146214,4.4,8.7
212,2314,101013,4.2,7
212,2334,101014,3.9,6.7
212,2467,101016,3.6,6.5
212,2495,101017,4.6,9.5
212,2511,101018,4.7,11.8
212,2541,101019,4.7,9.3
212,2545,101020,4.6,11.5
212,2558,101021,6.1,18.1
212,2584,101022,4.9,14
212,2633,101024,5.6,15.3
212,2774,101026,3.7,4.7
212,2780,101027,4.2,7.6
212,2781,101028,4.3,9
212,2786,101029,5.4,14.5
212,2807,101031,4.2,9.3
212,2877,145030,4.4,13
212,3304,101034,3,3.4
212,3320,101035,5.3,17.3
212,3376,101036,1.6,SUPP
212,3387,101037,2.5,2.2
212,3390,101038,4.4,10.3
212,3408,101041,4.9,17.7
212,3422,101042,3.9,5.5
212,3434,101043,4.3,7.8
212,3444,101044,4,10.9
212,3486,101045,4.1,9.9
212,3524,101046,2.6,2.2
212,3525,101047,5.1,8.9
212,3528,101048,4.1,9.9
212,3550,101049,2.2,1.4
212,3629,101050,3.7,7.6
212,3636,101051,3.8,4.9
212,3644,101052,2.9,1.7
212,3645,131520,3.5,7.1
212,4000,138267,4.7,10.5
212,4001,140985,5.5,13.8
212,4008,135762,5.1,14.6
212,4297,101053,4.6,12.4
212,4328,136883,5,11.2
212,4734,141808,5.3,13.6
212,5201,101057,5.3,13.1
212,5203,101012,3,1.6
212,5204,101011,3,1.9
212,5205,101032,4.7,10.7
212,5400,137005,4.9,10.7
212,5401,139842,4.9,8.8
212,5402,138681,4.3,11.7
212,5405,138682,4.6,8.8
212,6905,135316,2.9,6.6
212,7000,143175,12.5,44.2
212,7067,145709,16.8,42
212,7068,101094,9.4,40.4
212,7077,101095,10.2,50
212,7123,101099,12.1,40.9
212,7183,101102,7.7,15.8
212,7207,101103,9.1,27.3
213,2000,137323,4.2,6.5
213,2002,139824,4.2,9.9
213,2003,139898,4.3,8.7
213,2004,139940,4.9,13.4
213,2005,143148,2.5,3.7
213,2032,101107,2.6,3.6
213,2189,101110,4.7,9.9
213,2208,101111,4.2,7.8
213,2244,140050,4.9,10.3
213,2418,138683,4.6,8.1
213,2778,101115,6,19.2
213,2799,101116,4.2,7.8
213,2816,101117,4.9,10.4
213,2844,101120,4.7,13.7
213,3306,101121,3.9,6.5
213,3316,101122,3.6,4.2
213,3351,101123,2.2,1.7
213,3381,101124,4.6,13.8
213,3414,101125,3.7,4.4
213,3418,101126,4.9,15.5
213,3424,101127,5.6,14.3
213,3432,101128,4.7,9.6
213,3440,101129,5.3,14.5
213,3446,101130,6,19.3
213,3451,101131,4.9,11.4
213,3453,101132,3.3,5.9
213,3473,101133,3.7,4
213,3496,101134,4.7,12.3
213,3511,101135,5,10.8
213,3520,101136,6.5,16.5
213,3532,101137,3.9,7.1
213,3539,101138,4.3,9.5
213,3580,101139,5.3,14
213,3582,101140,4.3,8.3
213,3590,101141,2.5,1.8
213,3598,101142,5.2,12.3
213,3610,101143,2.7,2.8
213,3611,101144,4,7.4
213,3623,101146,4.5,11.4
213,3653,101147,3.8,7.4
213,4000,140884,5.4,13.3
213,4003,144819,13.5,51.3
213,4004,145126,3.5,4.6
213,4628,138313,3.1,4.6
213,4673,137353,5.5,13.2
213,4687,138312,4.7,8.8
213,4723,101154,5.9,14.1
213,4809,139369,4.2,7.1
213,6905,130912,4.7,9.8
213,6906,131262,6.9,21.1
213,6907,135242,4.4,9.4
213,6908,135676,4.6,9
213,7000,139600,7.1,22.4
213,7042,101182,7.6,20
213,7184,101184,13.1,50.7
301,2002,140687,4.4,14.8
301,2003,141651,3.7,6.6
301,2005,101188,5.4,15.6
301,2006,142699,4.4,10
301,2009,101192,4.1,6.9
301,2010,101193,4.7,11.7
301,2013,101196,4.4,10.3
301,2015,101198,3.7,9.5
301,2019,142133,3.1,6.5
301,2021,138684,2.6,3.3
301,2024,101202,4.6,10.7
301,2026,144280,4.7,14.8
301,2030,101203,4.1,6.4
301,2033,101206,3.9,7.1
301,2042,101210,4.1,11.6
301,2043,101211,3.2,3.9
301,2047,101212,4.4,9.6
301,2052,101216,4.2,9.2
301,2055,101219,3.7,6.7
301,2056,101220,4.9,15.4
301,2059,101222,3.2,4.1
301,2060,101223,3.5,8.1
301,2061,101224,4,8.7
301,2063,101226,4.5,11.7
301,2064,101227,4.2,10.6
301,2065,101228,5,11.9
301,2066,101229,4.8,9.9
301,2067,101230,3.8,8.8
301,2068,101231,3.7,6.4
301,2069,101232,4.7,12
301,2070,130357,3.2,7.7
