location,location_code,geographic_level,time_period,school_type,perm_excl_rate
Watford,E07000103,localAuthorityDistrict,201718,Total,0.048916841
Waveney,E07000206,localAuthorityDistrict,201718,Total,0.11654257
Welwyn Hatfield,E07000241,localAuthorityDistrict,201718,Total,0.110810145
Adur,E07000223,localAuthorityDistrict,201718,Total,0.092506938
Arun,E07000224,localAuthorityDistrict,201718,Total,0.142786534
Ashford,E07000105,localAuthorityDistrict,201718,Total,0
Aylesbury Vale,E07000004,localAuthorityDistrict,201718,Total,0.108813928
Basingstoke and Deane,E07000084,localAuthorityDistrict,201718,Total,0.030116594
Bracknell Forest,E06000036,localAuthorityDistrict,201718,Total,0.089350533
Brighton and Hove,E06000043,localAuthorityDistrict,201718,Total,0.034355675
Canterbury,E07000106,localAuthorityDistrict,201718,Total,0.004860031
Cherwell,E07000177,localAuthorityDistrict,201718,Total,0.062605346
Chichester,E07000225,localAuthorityDistrict,201718,Total,0.07713885
Chiltern,E07000005,localAuthorityDistrict,201718,Total,0.063312996
Crawley,E07000226,localAuthorityDistrict,201718,Total,0.186696538
Dartford,E07000107,localAuthorityDistrict,201718,Total,0.034325504
Dover,E07000108,localAuthorityDistrict,201718,Total,0.018488845
East Hampshire,E07000085,localAuthorityDistrict,201718,Total,0.032158477
Eastbourne,E07000061,localAuthorityDistrict,201718,Total,0.107025457
Eastleigh,E07000086,localAuthorityDistrict,201718,Total,0.005459111
Elmbridge,E07000207,localAuthorityDistrict,201718,Total,0.075395828
Epsom and Ewell,E07000208,localAuthorityDistrict,201718,Total,0.050783517
Fareham,E07000087,localAuthorityDistrict,201718,Total,0.038644854
Gosport,E07000088,localAuthorityDistrict,201718,Total,0.167644593
Gravesham,E07000109,localAuthorityDistrict,201718,Total,0.016632478
Guildford,E07000209,localAuthorityDistrict,201718,Total,0.061425061
Hart,E07000089,localAuthorityDistrict,201718,Total,0
Hastings,E07000062,localAuthorityDistrict,201718,Total,0.257503108
Havant,E07000090,localAuthorityDistrict,201718,Total,0.05891209
Horsham,E07000227,localAuthorityDistrict,201718,Total,0.059824876
Isle of Wight,E06000046,localAuthorityDistrict,201718,Total,0.077760498
Lewes,E07000063,localAuthorityDistrict,201718,Total,0.062710669
Maidstone,E07000110,localAuthorityDistrict,201718,Total,0.031404569
Medway,E06000035,localAuthorityDistrict,201718,Total,0.129306566
Mid Sussex,E07000228,localAuthorityDistrict,201718,Total,0.048360576
Milton Keynes,E06000042,localAuthorityDistrict,201718,Total,0.021395409
Mole Valley,E07000210,localAuthorityDistrict,201718,Total,0
New Forest,E07000091,localAuthorityDistrict,201718,Total,0.018774935
Oxford,E07000178,localAuthorityDistrict,201718,Total,0.085290271
Portsmouth,E06000044,localAuthorityDistrict,201718,Total,0.073594918
Reading,E06000038,localAuthorityDistrict,201718,Total,0.088735081
Reigate and Banstead,E07000211,localAuthorityDistrict,201718,Total,0.035811122
Rother,E07000064,localAuthorityDistrict,201718,Total,0.202055697
Runnymede,E07000212,localAuthorityDistrict,201718,Total,0.054416833
Rushmoor,E07000092,localAuthorityDistrict,201718,Total,0.035835872
Sevenoaks,E07000111,localAuthorityDistrict,201718,Total,0.007917656
Shepway,E07000112,localAuthorityDistrict,201718,Total,0.033174098
Slough,E06000039,localAuthorityDistrict,201718,Total,0.029950083
South Bucks,E07000006,localAuthorityDistrict,201718,Total,0.088760679
South Oxfordshire,E07000179,localAuthorityDistrict,201718,Total,0.028009897
Southampton,E06000045,localAuthorityDistrict,201718,Total,0.035290343
Spelthorne,E07000213,localAuthorityDistrict,201718,Total,0.092744525
Surrey Heath,E07000214,localAuthorityDistrict,201718,Total,0.0166044
Swale,E07000113,localAuthorityDistrict,201718,Total,0
Tandridge,E07000215,localAuthorityDistrict,201718,Total,0.045199783
Test Valley,E07000093,localAuthorityDistrict,201718,Total,0.031187625
Thanet,E07000114,localAuthorityDistrict,201718,Total,0
Tonbridge and Malling,E07000115,localAuthorityDistrict,201718,Total,0.028593214
Tunbridge Wells,E07000116,localAuthorityDistrict,201718,Total,0.021527367
Vale of White Horse,E07000180,localAuthorityDistrict,201718,Total,0.022853225
Waverley,E07000216,localAuthorityDistrict,201718,Total,0.036814333
Wealden,E07000065,localAuthorityDistrict,201718,Total,0.048596112
West Berkshire,E06000037,localAuthorityDistrict,201718,Total,0.066073302
West Oxfordshire,E07000181,localAuthorityDistrict,201718,Total,0.024243894
Winchester,E07000094,localAuthorityDistrict,201718,Total,0.019329897
Windsor and Maidenhead,E06000040,localAuthorityDistrict,201718,Total,0.069444444
Woking,E07000217,localAuthorityDistrict,201718,Total,0
Wokingham,E06000041,localAuthorityDistrict,201718,Total,0.058038305
Worthing,E07000229,localAuthorityDistrict,201718,Total,0.220158239
Wycombe,E07000007,localAuthorityDistrict,201718,Total,0.048919997
Bath and North East Somerset,E06000022,localAuthorityDistrict,201718,Total,0.115143186
Bournemouth,E06000028,localAuthorityDistrict,201718,Total,0.221408499
Bristol City of,E06000023,localAuthorityDistrict,201718,Total,0.023932851
Cheltenham,E07000078,localAuthorityDistrict,201718,Total,0.200678154
Christchurch,E07000048,localAuthorityDistrict,201718,Total,0.192864031
Cornwall,E06000052,localAuthorityDistrict,201718,Total,0.100702156
Cotswold,E07000079,localAuthorityDistrict,201718,Total,0.102546573
East Devon,E07000040,localAuthorityDistrict,201718,Total,0.132868294
East Dorset,E07000049,localAuthorityDistrict,201718,Total,0.089383256
Exeter,E07000041,localAuthorityDistrict,201718,Total,0.125
Forest of Dean,E07000080,localAuthorityDistrict,201718,Total,0.137551582
Gloucester,E07000081,localAuthorityDistrict,201718,Total,0.162376427
Isles of Scilly,E06000053,localAuthorityDistrict,201718,Total,0
