location,location_code,geographic_level,time_period,school_phase,third_preference_offers_percent,non_preferred_offer_percent,no_offer_percent,schools_in_another_la_offer_percent
Lambeth,E09000022,localAuthority,201718,Primary,2.714134649,2.255904124,0,8.706379979
Lewisham,E09000023,localAuthority,201718,Primary,3.051965906,0,2.474566951,8.739780096
Newham,E09000025,localAuthority,201718,Primary,1.141602634,1.536772777,0,2.173435785
Southwark,E09000028,localAuthority,201718,Primary,1.642451042,1.800379027,0,6.632975363
Tower Hamlets,E09000030,localAuthority,201718,Primary,2.087170043,2.179251074,0,2.302025783
Wandsworth,E09000032,localAuthority,201718,Primary,3.76984127,3.637566138,0,6.746031746
Westminster,E09000033,localAuthority,201718,Primary,4.048582996,2.186234818,0,9.95951417
Barking and Dagenham,E09000002,localAuthority,201718,Primary,0.994318182,1.25,0,6.392045455
Barnet,E09000003,localAuthority,201718,Primary,2.43204578,2.742012399,0,6.938483548
Bexley,E09000004,localAuthority,201718,Primary,1.360544218,1.326530612,0,5.068027211
Brent,E09000005,localAuthority,201718,Primary,2.389705882,2.862394958,0.026260504,11.05857631
Bromley,E09000006,localAuthority,201718,Primary,2.807107906,1.67396343,0,3.476693278
Croydon,E09000008,localAuthority,201718,Primary,1.776160924,1.326770811,0,8.41001498
Ealing,E09000009,localAuthority,201718,Primary,2.300799225,2.15548559,0.121094696,5.64985451
Enfield,E09000010,localAuthority,201718,Primary,2.044566965,1.355387089,0.045945325,6.341911765
Greenwich,E09000011,localAuthority,201718,Primary,2.446236559,3.655913978,0,8.11827957
Harrow,E09000015,localAuthority,201718,Primary,4.295259306,4.740693605,0,6.204263443
Havering,E09000016,localAuthority,201718,Primary,2.047051635,3.269172013,0,3.391384051
Hillingdon,E09000017,localAuthority,201718,Primary,1.963784749,1.530221882,0,5.253761795
Hounslow,E09000018,localAuthority,201718,Primary,3.599114064,2.380952381,0,8.388704319
Kingston upon Thames,E09000021,localAuthority,201718,Primary,1.681555439,2.364687336,0,3.448275862
Merton,E09000024,localAuthority,201718,Primary,3.146584804,5.257099002,0,9.746738296
Redbridge,E09000026,localAuthority,201718,Primary,2.022821577,0.07780083,1.867219917,3.831319105
Richmond upon Thames,E09000027,localAuthority,201718,Primary,2.806122449,1.573129252,1.403061224,1.765719208
Sutton,E09000029,localAuthority,201718,Primary,2.688573562,4.480955937,0,10.8995894
Waltham Forest,E09000031,localAuthority,201718,Primary,1.828206616,1.97330238,0,3.395240859
